card_id,card_type,deck_name,text,image_file
peche_question_001,question,Cliché Maximum: Pêche Édition,"Mon plus gros poisson, c'est ____ et personne ne me croit.",card_game/peche/question/card_001.png
peche_question_002,question,Cliché Maximum: Pêche Édition,Ce que j'oublie systématiquement en partant pêcher : ____.,card_game/peche/question/card_002.png
peche_question_003,question,Cliché Maximum: Pêche Édition,La carpe que je n'ai jamais attrapée s'appelle ____.,card_game/peche/question/card_003.png
peche_question_004,question,Cliché Maximum: Pêche Édition,"Pour rater une touche, le meilleur moyen est ____.",card_game/peche/question/card_004.png
peche_question_005,question,Cliché Maximum: Pêche Édition,Mon coffre à leurres contient secrètement ____.,card_game/peche/question/card_005.png
peche_question_006,question,Cliché Maximum: Pêche Édition,La femme/mari de mon pote a banni la pêche après ____.,card_game/peche/question/card_006.png
peche_question_007,question,Cliché Maximum: Pêche Édition,"Pour expliquer un retour bredouille, j'invente ____.",card_game/peche/question/card_007.png
peche_question_008,question,Cliché Maximum: Pêche Édition,Le meilleur moment au bord de l'eau c'est ____.,card_game/peche/question/card_008.png
peche_question_009,question,Cliché Maximum: Pêche Édition,Mon collègue de pêche se vante de ____ à chaque sortie.,card_game/peche/question/card_009.png
peche_question_010,question,Cliché Maximum: Pêche Édition,Le caillou que j'utilise comme plomb depuis 10 ans s'appelle ____.,card_game/peche/question/card_010.png
peche_question_011,question,Cliché Maximum: Pêche Édition,"Pour pêcher de nuit, j'emporte toujours ____.",card_game/peche/question/card_011.png
peche_question_012,question,Cliché Maximum: Pêche Édition,La technique secrète de mon grand-père impliquait ____.,card_game/peche/question/card_012.png
peche_question_013,question,Cliché Maximum: Pêche Édition,L'application météo m'a menti sur ____.,card_game/peche/question/card_013.png
peche_question_014,question,Cliché Maximum: Pêche Édition,L'eau du lac contient ____ selon les rumeurs.,card_game/peche/question/card_014.png
peche_question_015,question,Cliché Maximum: Pêche Édition,Le pire moment d'une partie de pêche est ____.,card_game/peche/question/card_015.png
peche_question_016,question,Cliché Maximum: Pêche Édition,Mon record absolu c'est ____.,card_game/peche/question/card_016.png
peche_question_017,question,Cliché Maximum: Pêche Édition,Pour calmer un brochet capturé : ____.,card_game/peche/question/card_017.png
peche_question_018,question,Cliché Maximum: Pêche Édition,Le voisin d'à côté a planté son hameçon dans ____.,card_game/peche/question/card_018.png
peche_question_019,question,Cliché Maximum: Pêche Édition,L'odeur dominante de mon vivier c'est ____.,card_game/peche/question/card_019.png
peche_question_020,question,Cliché Maximum: Pêche Édition,"À la pause déjeuner sur la berge, je sors toujours ____.",card_game/peche/question/card_020.png
peche_answer_001,answer,Cliché Maximum: Pêche Édition,Une botte d'égout,card_game/peche/answer/card_001.png
peche_answer_002,answer,Cliché Maximum: Pêche Édition,Une vieille godasse à l'effigie de Mitterrand,card_game/peche/answer/card_002.png
peche_answer_003,answer,Cliché Maximum: Pêche Édition,Un sandwich pâté oublié depuis 3 jours,card_game/peche/answer/card_003.png
peche_answer_004,answer,Cliché Maximum: Pêche Édition,Le bouchon préféré de mon grand-père,card_game/peche/answer/card_004.png
peche_answer_005,answer,Cliché Maximum: Pêche Édition,Trois canettes vides,card_game/peche/answer/card_005.png
peche_answer_006,answer,Cliché Maximum: Pêche Édition,Une pluie torrentielle de 8h,card_game/peche/answer/card_006.png
peche_answer_007,answer,Cliché Maximum: Pêche Édition,Une touche manquée à la 7e minute,card_game/peche/answer/card_007.png
peche_answer_008,answer,Cliché Maximum: Pêche Édition,Une querelle avec un Castor,card_game/peche/answer/card_008.png
peche_answer_009,answer,Cliché Maximum: Pêche Édition,Un selfie avec un poisson trop petit,card_game/peche/answer/card_009.png
peche_answer_010,answer,Cliché Maximum: Pêche Édition,Trois cafés et un Red Bull,card_game/peche/answer/card_010.png
peche_answer_011,answer,Cliché Maximum: Pêche Édition,La grenouille en silicone fluo,card_game/peche/answer/card_011.png
peche_answer_012,answer,Cliché Maximum: Pêche Édition,Un nœud de pêcheur expert raté,card_game/peche/answer/card_012.png
peche_answer_013,answer,Cliché Maximum: Pêche Édition,Un brochet de 12kg fantôme,card_game/peche/answer/card_013.png
peche_answer_014,answer,Cliché Maximum: Pêche Édition,Le moustique du coin,card_game/peche/answer/card_014.png
peche_answer_015,answer,Cliché Maximum: Pêche Édition,Une vieille radio FM,card_game/peche/answer/card_015.png
peche_answer_016,answer,Cliché Maximum: Pêche Édition,Trois lignes emmêlées,card_game/peche/answer/card_016.png
peche_answer_017,answer,Cliché Maximum: Pêche Édition,Une appli météo bidon,card_game/peche/answer/card_017.png
peche_answer_018,answer,Cliché Maximum: Pêche Édition,L'orage soudain,card_game/peche/answer/card_018.png
peche_answer_019,answer,Cliché Maximum: Pêche Édition,Une thermos de café froid,card_game/peche/answer/card_019.png
peche_answer_020,answer,Cliché Maximum: Pêche Édition,Mon pote qui parle trop fort,card_game/peche/answer/card_020.png
peche_answer_021,answer,Cliché Maximum: Pêche Édition,Le sandwich jambon-beurre,card_game/peche/answer/card_021.png
peche_answer_022,answer,Cliché Maximum: Pêche Édition,La pluie surprise,card_game/peche/answer/card_022.png
peche_answer_023,answer,Cliché Maximum: Pêche Édition,Une chaise pliante cassée,card_game/peche/answer/card_023.png
peche_answer_024,answer,Cliché Maximum: Pêche Édition,Un pneu de voiture immergé,card_game/peche/answer/card_024.png
peche_answer_025,answer,Cliché Maximum: Pêche Édition,Une canne à pêche cassée,card_game/peche/answer/card_025.png
peche_answer_026,answer,Cliché Maximum: Pêche Édition,Le vent qui change toutes les 3 min,card_game/peche/answer/card_026.png
peche_answer_027,answer,Cliché Maximum: Pêche Édition,Une plante aquatique inconnue,card_game/peche/answer/card_027.png
peche_answer_028,answer,Cliché Maximum: Pêche Édition,Une carpe imaginaire,card_game/peche/answer/card_028.png
peche_answer_029,answer,Cliché Maximum: Pêche Édition,Le silence du lever du jour,card_game/peche/answer/card_029.png
peche_answer_030,answer,Cliché Maximum: Pêche Édition,La bière fraîche de 14h,card_game/peche/answer/card_030.png
