design_id,niche,title,tags_etsy,price_etsy
iheart_v4_fishing,fishing,I Love Fishing Print — Heart-Shaped Scene Modern Gift for Anglers,"i love fishing, fishing gift, anglers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, fishing lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_reading,reading,I Love Reading Print — Heart-Shaped Scene Modern Gift for Booktok Readers,"i love reading, reading gift, booktok readers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, reading lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_my_cat,my_cat,I Love My Cat Print — Heart-Shaped Scene Modern Gift for Cat Parents,"i love my cat, my cat gift, cat parents, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, my cat lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_my_dog,my_dog,I Love My Dog Print — Heart-Shaped Scene Modern Gift for Dog Parents,"i love my dog, my dog gift, dog parents, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, my dog lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_hiking,hiking,I Love Hiking Print — Heart-Shaped Scene Modern Gift for Hikers,"i love hiking, hiking gift, hikers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, hiking lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_camping,camping,I Love Camping Print — Heart-Shaped Scene Modern Gift for Campers,"i love camping, camping gift, campers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, camping lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_coffee,coffee,I Love Coffee Print — Heart-Shaped Scene Modern Gift for Coffee Lovers,"i love coffee, coffee gift, coffee lovers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, coffee lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_gardening,gardening,I Love Gardening Print — Heart-Shaped Scene Modern Gift for Gardeners,"i love gardening, gardening gift, gardeners, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, gardening lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_yoga,yoga,I Love Yoga Print — Heart-Shaped Scene Modern Gift for Yoga Practitioners,"i love yoga, yoga gift, yoga practitioners, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, yoga lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
iheart_v4_wine,wine,I Love Wine Print — Heart-Shaped Scene Modern Gift for Wine Lovers,"i love wine, wine gift, wine lovers, heart shaped art, wall art print, tshirt design, modern minimalist, digital download, wine lover, unique gift idea, scene in heart, redbubble pod, instant download",4.5
