card_id,card_type,deck_name,text,image_file
devops_question_001,question,Cliché Maximum: DevOps Edition,Vendredi 17h : ____ explose en prod.,card_game/devops/question/card_001.png
devops_question_002,question,Cliché Maximum: DevOps Edition,Mon manager pense que mon job c'est ____.,card_game/devops/question/card_002.png
devops_question_003,question,Cliché Maximum: DevOps Edition,"À chaque review du code de mon collègue, je découvre ____.",card_game/devops/question/card_003.png
devops_question_004,question,Cliché Maximum: DevOps Edition,L'astreinte du week-end m'a appris que ____.,card_game/devops/question/card_004.png
devops_question_005,question,Cliché Maximum: DevOps Edition,Notre stratégie de backup est basée sur ____.,card_game/devops/question/card_005.png
devops_question_006,question,Cliché Maximum: DevOps Edition,"La doc interne décrit le système comme ____, en réalité c'est ____.",card_game/devops/question/card_006.png
devops_question_007,question,Cliché Maximum: DevOps Edition,Le stagiaire a poussé en prod ____ et personne ne s'en est rendu compte pendant ____.,card_game/devops/question/card_007.png
devops_question_008,question,Cliché Maximum: DevOps Edition,Mon CTO a banni Kubernetes parce que ____.,card_game/devops/question/card_008.png
devops_question_009,question,Cliché Maximum: DevOps Edition,Les meetings stand-up de 9h consistent à parler de ____.,card_game/devops/question/card_009.png
devops_question_010,question,Cliché Maximum: DevOps Edition,Notre incident report explique tout par ____.,card_game/devops/question/card_010.png
devops_question_011,question,Cliché Maximum: DevOps Edition,Le CEO veut que tout passe en ____ d'ici lundi.,card_game/devops/question/card_011.png
devops_question_012,question,Cliché Maximum: DevOps Edition,"Pour passer un message au sysadmin, le meilleur moyen c'est ____.",card_game/devops/question/card_012.png
devops_question_013,question,Cliché Maximum: DevOps Edition,"La dernière fois qu'on a touché à ____, le serveur a survécu.",card_game/devops/question/card_013.png
devops_question_014,question,Cliché Maximum: DevOps Edition,Le client trouve normal que ça ____ après 3 ans de service.,card_game/devops/question/card_014.png
devops_question_015,question,Cliché Maximum: DevOps Edition,Notre slogan de team devrait être ____.,card_game/devops/question/card_015.png
devops_question_016,question,Cliché Maximum: DevOps Edition,L'équipe sécu nous a interdit ____ depuis qu'on a découvert ____.,card_game/devops/question/card_016.png
devops_question_017,question,Cliché Maximum: DevOps Edition,Pour fêter une bonne release on commande ____.,card_game/devops/question/card_017.png
devops_question_018,question,Cliché Maximum: DevOps Edition,Notre monitoring nous alerte uniquement quand ____.,card_game/devops/question/card_018.png
devops_question_019,question,Cliché Maximum: DevOps Edition,Les standups commencent toujours par ____.,card_game/devops/question/card_019.png
