design_id,expression,language,format,title,tags_etsy,price_etsy
hygge_minimalist_typo,Hygge,danish,Minimalist Typography,Hygge Print — Minimalist Typography Danish Art,"hygge, danish word, danish art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
hygge_definition_dict,Hygge,danish,Dictionary Definition,Hygge Definition Print — Danish Dictionary Art Poster,"hygge, danish word, danish art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
ikigai_minimalist_typo,Ikigai,japanese,Minimalist Typography,Ikigai Print — Minimalist Typography Japanese Art,"ikigai, japanese word, japanese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
ikigai_definition_dict,Ikigai,japanese,Dictionary Definition,Ikigai Definition Print — Japanese Dictionary Art Poster,"ikigai, japanese word, japanese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
wabi_sabi_minimalist_typo,Wabi-sabi,japanese,Minimalist Typography,Wabi-sabi Print — Minimalist Typography Japanese Art,"wabi-sabi, japanese word, japanese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
wabi_sabi_definition_dict,Wabi-sabi,japanese,Dictionary Definition,Wabi-sabi Definition Print — Japanese Dictionary Art Poster,"wabi-sabi, japanese word, japanese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
saudade_minimalist_typo,Saudade,portuguese,Minimalist Typography,Saudade Print — Minimalist Typography Portuguese Art,"saudade, portuguese word, portuguese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
saudade_definition_dict,Saudade,portuguese,Dictionary Definition,Saudade Definition Print — Portuguese Dictionary Art Poster,"saudade, portuguese word, portuguese art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
wanderlust_minimalist_typo,Wanderlust,german,Minimalist Typography,Wanderlust Print — Minimalist Typography German Art,"wanderlust, german word, german art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
wanderlust_definition_dict,Wanderlust,german,Dictionary Definition,Wanderlust Definition Print — German Dictionary Art Poster,"wanderlust, german word, german art, untranslatable word, language gift, linguistic art, word definition, typography poster, minimalist print, wall art, literary gift, etymology, polyglot gift",4.5
