design_id,expression,language,mood,title,tags_etsy,price_etsy
cultural_v2_hygge,Hygge,danish,cozy,Hygge — Danish Word Print Untranslatable Definition Art,"hygge, danish word, danish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, cozy aesthetic, typography poster",4.5
cultural_v2_ikigai,Ikigai,japanese,zen,Ikigai — Japanese Word Print Untranslatable Definition Art,"ikigai, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_wabi_sabi,Wabi-sabi,japanese,zen,Wabi-sabi — Japanese Word Print Untranslatable Definition Art,"wabi-sabi, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_saudade,Saudade,portuguese,melancholic,Saudade — Portuguese Word Print Untranslatable Definition Art,"saudade, portuguese word, portuguese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, melancholic aesthetic, typography poster",4.5
cultural_v2_wanderlust,Wanderlust,german,adventure,Wanderlust — German Word Print Untranslatable Definition Art,"wanderlust, german word, german art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, adventure aesthetic, typography poster",4.5
cultural_v2_la_dolce_vita,La Dolce Vita,italian,joyful,La Dolce Vita — Italian Word Print Untranslatable Definition Art,"la dolce vita, italian word, italian art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, joyful aesthetic, typography poster",4.5
cultural_v2_mi_amor,Mi Amor,spanish,romantic,Mi Amor — Spanish Word Print Untranslatable Definition Art,"mi amor, spanish word, spanish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, romantic aesthetic, typography poster",4.5
cultural_v2_namaste,Namaste,sanskrit,spiritual,Namaste — Sanskrit Word Print Untranslatable Definition Art,"namaste, sanskrit word, sanskrit art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, spiritual aesthetic, typography poster",4.5
cultural_v2_karma,Karma,sanskrit,spiritual,Karma — Sanskrit Word Print Untranslatable Definition Art,"karma, sanskrit word, sanskrit art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, spiritual aesthetic, typography poster",4.5
cultural_v2_cest_la_vie,C'est la vie,french,philosophical,C'est la vie — French Word Print Untranslatable Definition Art,"c'est la vie, french word, french art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, philosophical aesthetic, typography poster",4.5
cultural_v2_lagom,Lagom,swedish,cozy,Lagom — Swedish Word Print Untranslatable Definition Art,"lagom, swedish word, swedish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, cozy aesthetic, typography poster",4.5
cultural_v2_fika,Fika,swedish,cozy,Fika — Swedish Word Print Untranslatable Definition Art,"fika, swedish word, swedish art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, cozy aesthetic, typography poster",4.5
cultural_v2_kintsugi,Kintsugi,japanese,zen,Kintsugi — Japanese Word Print Untranslatable Definition Art,"kintsugi, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_komorebi,Komorebi,japanese,zen,Komorebi — Japanese Word Print Untranslatable Definition Art,"komorebi, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, zen aesthetic, typography poster",4.5
cultural_v2_tsundoku,Tsundoku,japanese,bookish,Tsundoku — Japanese Word Print Untranslatable Definition Art,"tsundoku, japanese word, japanese art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, bookish aesthetic, typography poster",4.5
cultural_v2_schadenfreude,Schadenfreude,german,wit,Schadenfreude — German Word Print Untranslatable Definition Art,"schadenfreude, german word, german art, untranslatable word, language gift, definition print, minimalist art, wall art, literary gift, polyglot gift, etymology print, wit aesthetic, typography poster",4.5
