design_id,language,original,literal_translation,actual_meaning,title,tags_etsy,price_etsy
idiom_v2_german_i_only_understand_train_station,german,Ich verstehe nur Bahnhof,I only understand train station,I don't understand anything,I only understand train station — Funny German Idiom Translation Print,"funny german idiom, german learning, language learner gift, polyglot art, linguistics print, translation humor, german expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_german_to_have_tomatoes_on_your_eyes,german,Tomaten auf den Augen haben,To have tomatoes on your eyes,To be oblivious to what's happening,To have tomatoes on your eyes — Funny German Idiom Translation Print,"funny german idiom, german learning, language learner gift, polyglot art, linguistics print, translation humor, german expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_german_the_bear_is_dancing_there,german,Da steppt der Bär,The bear is dancing there,It's a great party,The bear is dancing there — Funny German Idiom Translation Print,"funny german idiom, german learning, language learner gift, polyglot art, linguistics print, translation humor, german expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_french_to_have_the_cockroach,french,Avoir le cafard,To have the cockroach,To feel blue / depressed,To have the cockroach — Funny French Idiom Translation Print,"funny french idiom, french learning, language learner gift, polyglot art, linguistics print, translation humor, french expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_french_to_put_a_rabbit_on_someone,french,Poser un lapin à quelqu'un,To put a rabbit on someone,To stand someone up on a date,To put a rabbit on someone — Funny French Idiom Translation Print,"funny french idiom, french learning, language learner gift, polyglot art, linguistics print, translation humor, french expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_french_to_have_eyes_bigger_than_the_belly,french,Avoir les yeux plus gros que le ventre,To have eyes bigger than the belly,To take more food than you can eat,To have eyes bigger than the belly — Funny French Idiom Translation Print,"funny french idiom, french learning, language learner gift, polyglot art, linguistics print, translation humor, french expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_french_to_give_your_tongue_to_the_cat,french,Donner sa langue au chat,To give your tongue to the cat,To give up on guessing,To give your tongue to the cat — Funny French Idiom Translation Print,"funny french idiom, french learning, language learner gift, polyglot art, linguistics print, translation humor, french expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_japanese_a_gold_coin_to_a_cat,japanese,Neko ni koban,A gold coin to a cat,Wasting something valuable on someone who can't appreciate it,A gold coin to a cat — Funny Japanese Idiom Translation Print,"funny japanese idiom, japanese learning, language learner gift, polyglot art, linguistics print, translation humor, japanese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_japanese_even_monkeys_fall_from_trees,japanese,Saru mo ki kara ochiru,Even monkeys fall from trees,Even experts make mistakes,Even monkeys fall from trees — Funny Japanese Idiom Translation Print,"funny japanese idiom, japanese learning, language learner gift, polyglot art, linguistics print, translation humor, japanese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_japanese_my_stomach_is_standing_up,japanese,Hara ga tatsu,My stomach is standing up,I'm angry,My stomach is standing up — Funny Japanese Idiom Translation Print,"funny japanese idiom, japanese learning, language learner gift, polyglot art, linguistics print, translation humor, japanese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_italian_into_the_mouth_of_the_wolf,italian,In bocca al lupo,Into the mouth of the wolf,Good luck!,Into the mouth of the wolf — Funny Italian Idiom Translation Print,"funny italian idiom, italian learning, language learner gift, polyglot art, linguistics print, translation humor, italian expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_italian_not_all_donuts_come_out_with_a_hole,italian,Non tutte le ciambelle escono col buco,Not all donuts come out with a hole,Not everything turns out as planned,Not all donuts come out with a hole — Funny Italian Idiom Translation Print,"funny italian idiom, italian learning, language learner gift, polyglot art, linguistics print, translation humor, italian expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_italian_to_have_hands_in_the_dough,italian,Avere le mani in pasta,To have hands in the dough,To be involved in many things,To have hands in the dough — Funny Italian Idiom Translation Print,"funny italian idiom, italian learning, language learner gift, polyglot art, linguistics print, translation humor, italian expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_spanish_to_take_the_hair,spanish,Tomar el pelo,To take the hair,To pull someone's leg / tease,To take the hair — Funny Spanish Idiom Translation Print,"funny spanish idiom, spanish learning, language learner gift, polyglot art, linguistics print, translation humor, spanish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_spanish_to_be_eaten_bread,spanish,Ser pan comido,To be eaten bread,Easy as pie,To be eaten bread — Funny Spanish Idiom Translation Print,"funny spanish idiom, spanish learning, language learner gift, polyglot art, linguistics print, translation humor, spanish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_spanish_to_have_no_hairs_on_the_tongue,spanish,No tener pelos en la lengua,To have no hairs on the tongue,To speak frankly,To have no hairs on the tongue — Funny Spanish Idiom Translation Print,"funny spanish idiom, spanish learning, language learner gift, polyglot art, linguistics print, translation humor, spanish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_portuguese_to_pay_the_duck,portuguese,Pagar o pato,To pay the duck,To take the blame for something you didn't do,To pay the duck — Funny Portuguese Idiom Translation Print,"funny portuguese idiom, portuguese learning, language learner gift, polyglot art, linguistics print, translation humor, portuguese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_portuguese_to_swallow_frogs,portuguese,Engolir sapos,To swallow frogs,To endure unpleasant situations,To swallow frogs — Funny Portuguese Idiom Translation Print,"funny portuguese idiom, portuguese learning, language learner gift, polyglot art, linguistics print, translation humor, portuguese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_dutch_to_shake_a_monkey_out_of_the_sleeve,dutch,Een aap uit de mouw schudden,To shake a monkey out of the sleeve,To reveal a secret,To shake a monkey out of the sleeve — Funny Dutch Idiom Translation Print,"funny dutch idiom, dutch learning, language learner gift, polyglot art, linguistics print, translation humor, dutch expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_dutch_to_have_something_under_the_knee,dutch,Iets onder de knie hebben,To have something under the knee,To master something,To have something under the knee — Funny Dutch Idiom Translation Print,"funny dutch idiom, dutch learning, language learner gift, polyglot art, linguistics print, translation humor, dutch expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_swedish_to_slide_on_a_shrimp_sandwich,swedish,Att glida på en räkmacka,To slide on a shrimp sandwich,To get an easy ride in life,To slide on a shrimp sandwich — Funny Swedish Idiom Translation Print,"funny swedish idiom, swedish learning, language learner gift, polyglot art, linguistics print, translation humor, swedish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_russian_to_hang_noodles_on_someone_s_ears,russian,Vешать лапшу на уши,To hang noodles on someone's ears,To deceive someone,To hang noodles on someone's ears — Funny Russian Idiom Translation Print,"funny russian idiom, russian learning, language learner gift, polyglot art, linguistics print, translation humor, russian expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_russian_when_the_crayfish_whistles_on_the_mountain,russian,Когда рак на горе свистнет,When the crayfish whistles on the mountain,Never going to happen,When the crayfish whistles on the mountain — Funny Russian Idiom Translation Print,"funny russian idiom, russian learning, language learner gift, polyglot art, linguistics print, translation humor, russian expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_chinese_horse_horse_tiger_tiger,chinese,马马虎虎,Horse horse tiger tiger,So-so / mediocre,Horse horse tiger tiger — Funny Chinese Idiom Translation Print,"funny chinese idiom, chinese learning, language learner gift, polyglot art, linguistics print, translation humor, chinese expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_korean_rice_cake_in_a_painting,korean,그림의 떡,Rice cake in a painting,Something unattainable,Rice cake in a painting — Funny Korean Idiom Translation Print,"funny korean idiom, korean learning, language learner gift, polyglot art, linguistics print, translation humor, korean expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_hindi_to_become_nine_two_eleven,hindi,नौ दो ग्यारह होना,To become nine-two-eleven,To run away quickly,To become nine-two-eleven — Funny Hindi Idiom Translation Print,"funny hindi idiom, hindi learning, language learner gift, polyglot art, linguistics print, translation humor, hindi expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_finnish_to_be_like_a_mole_in_sunshine,finnish,Olla kuin myyrä auringonpaisteessa,To be like a mole in sunshine,To feel out of place,To be like a mole in sunshine — Funny Finnish Idiom Translation Print,"funny finnish idiom, finnish learning, language learner gift, polyglot art, linguistics print, translation humor, finnish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
idiom_v2_polish_a_bread_roll_with_butter,polish,Bułka z masłem,A bread roll with butter,Easy peasy,A bread roll with butter — Funny Polish Idiom Translation Print,"funny polish idiom, polish learning, language learner gift, polyglot art, linguistics print, translation humor, polish expression, language teacher gift, etymology art, literal translation, language nerd, idiom wall art, humor poster",4.99
