card_id,card_type,deck_name,text,image_file
pompiers_question_001,question,Cliché Maximum: Sapeurs-Pompiers Edition,Garde de nuit : à 3h du mat on est appelés pour ____.,card_game/pompiers/question/card_001.png
pompiers_question_002,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le chef de garde panique uniquement quand ____.,card_game/pompiers/question/card_002.png
pompiers_question_003,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le pire repas qu'on ait mangé en caserne c'était ____.,card_game/pompiers/question/card_003.png
pompiers_question_004,question,Cliché Maximum: Sapeurs-Pompiers Edition,"Pour réveiller un collègue endormi, on utilise ____.",card_game/pompiers/question/card_004.png
pompiers_question_005,question,Cliché Maximum: Sapeurs-Pompiers Edition,Notre intervention la plus absurde concernait ____.,card_game/pompiers/question/card_005.png
pompiers_question_006,question,Cliché Maximum: Sapeurs-Pompiers Edition,La salle de muscu de la caserne sert surtout à ____.,card_game/pompiers/question/card_006.png
pompiers_question_007,question,Cliché Maximum: Sapeurs-Pompiers Edition,"Quand un nouveau arrive, on le fait stresser avec ____.",card_game/pompiers/question/card_007.png
pompiers_question_008,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le casier de Roger contient secrètement ____.,card_game/pompiers/question/card_008.png
pompiers_question_009,question,Cliché Maximum: Sapeurs-Pompiers Edition,Les voisins de la caserne nous détestent à cause de ____.,card_game/pompiers/question/card_009.png
pompiers_question_010,question,Cliché Maximum: Sapeurs-Pompiers Edition,Notre devise officieuse est ____.,card_game/pompiers/question/card_010.png
pompiers_question_011,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le mess de la caserne a interdit ____ après l'incident de ____.,card_game/pompiers/question/card_011.png
pompiers_question_012,question,Cliché Maximum: Sapeurs-Pompiers Edition,"Pour qu'une intervention soit officiellement « tranquille », il manque seulement ____.",card_game/pompiers/question/card_012.png
pompiers_question_013,question,Cliché Maximum: Sapeurs-Pompiers Edition,L'inspection de l'an dernier a découvert ____ dans le frigo.,card_game/pompiers/question/card_013.png
pompiers_question_014,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le chien de la caserne est expert en ____.,card_game/pompiers/question/card_014.png
pompiers_question_015,question,Cliché Maximum: Sapeurs-Pompiers Edition,"Mon premier jour, on m'a appris à reconnaître ____.",card_game/pompiers/question/card_015.png
pompiers_question_016,question,Cliché Maximum: Sapeurs-Pompiers Edition,"Quand on entend l'alarme, on pense d'abord à ____.",card_game/pompiers/question/card_016.png
pompiers_question_017,question,Cliché Maximum: Sapeurs-Pompiers Edition,Les pompiers volontaires nous appellent en panique pour ____.,card_game/pompiers/question/card_017.png
pompiers_question_018,question,Cliché Maximum: Sapeurs-Pompiers Edition,Pour faire baisser la tension après une grosse intervention : ____.,card_game/pompiers/question/card_018.png
pompiers_question_019,question,Cliché Maximum: Sapeurs-Pompiers Edition,Le médecin du SDIS nous a recommandé d'arrêter ____.,card_game/pompiers/question/card_019.png
pompiers_question_020,question,Cliché Maximum: Sapeurs-Pompiers Edition,L'arme préférée du chef de centre c'est ____.,card_game/pompiers/question/card_020.png
pompiers_answer_001,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un chat coincé sur un arbre,card_game/pompiers/answer/card_001.png
pompiers_answer_002,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une casserole qui crame,card_game/pompiers/answer/card_002.png
pompiers_answer_003,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un faux appel après match de foot,card_game/pompiers/answer/card_003.png
pompiers_answer_004,answer,Cliché Maximum: Sapeurs-Pompiers Edition,La porte d'entrée d'un voisin curieux,card_game/pompiers/answer/card_004.png
pompiers_answer_005,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une fuite d'eau dans la salle de garde,card_game/pompiers/answer/card_005.png
pompiers_answer_006,answer,Cliché Maximum: Sapeurs-Pompiers Edition,La machine à café qui explose,card_game/pompiers/answer/card_006.png
pompiers_answer_007,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Le frigo de la caserne resté ouvert,card_game/pompiers/answer/card_007.png
pompiers_answer_008,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un perroquet qui imite l'alarme,card_game/pompiers/answer/card_008.png
pompiers_answer_009,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un cambriolage par voie d'égouts,card_game/pompiers/answer/card_009.png
pompiers_answer_010,answer,Cliché Maximum: Sapeurs-Pompiers Edition,L'odeur de la lasagne ratée,card_game/pompiers/answer/card_010.png
pompiers_answer_011,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un nouveau qui dort encore,card_game/pompiers/answer/card_011.png
pompiers_answer_012,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Le canapé défoncé du salon,card_game/pompiers/answer/card_012.png
pompiers_answer_013,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Le chien de la caserne,card_game/pompiers/answer/card_013.png
pompiers_answer_014,answer,Cliché Maximum: Sapeurs-Pompiers Edition,L'application Tinder du chef adjoint,card_game/pompiers/answer/card_014.png
pompiers_answer_015,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une fausse alerte d'un capteur défectueux,card_game/pompiers/answer/card_015.png
pompiers_answer_016,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une réunion budgétaire,card_game/pompiers/answer/card_016.png
pompiers_answer_017,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Trois pizzas froides,card_game/pompiers/answer/card_017.png
pompiers_answer_018,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une partie de babyfoot,card_game/pompiers/answer/card_018.png
pompiers_answer_019,answer,Cliché Maximum: Sapeurs-Pompiers Edition,La sieste du soir,card_game/pompiers/answer/card_019.png
pompiers_answer_020,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Le karaoké de minuit,card_game/pompiers/answer/card_020.png
pompiers_answer_021,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Le café du matin,card_game/pompiers/answer/card_021.png
pompiers_answer_022,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une vieille couverture isolante,card_game/pompiers/answer/card_022.png
pompiers_answer_023,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un thermomètre cassé,card_game/pompiers/answer/card_023.png
pompiers_answer_024,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Un grand verre d'eau froide,card_game/pompiers/answer/card_024.png
pompiers_answer_025,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Boire un café et prier,card_game/pompiers/answer/card_025.png
pompiers_answer_026,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Faire des burpees jusqu'à l'effondrement,card_game/pompiers/answer/card_026.png
pompiers_answer_027,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Crier plus fort que l'alarme,card_game/pompiers/answer/card_027.png
pompiers_answer_028,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Acheter une nouvelle cafetière,card_game/pompiers/answer/card_028.png
pompiers_answer_029,answer,Cliché Maximum: Sapeurs-Pompiers Edition,Une réunion debout interminable,card_game/pompiers/answer/card_029.png
