design_id,format_family,format_key,format_text,niche,title,tags_etsy,price_etsy
viral_diagnosed_terminal_knitting_v0,medical,diagnosed_terminal,Diagnosed with terminal Knitting,knitting,Diagnosed with terminal Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, knitting lover, digital download, etsy bestseller, redbubble pod",3.99
viral_diagnosed_terminal_crochet_v0,medical,diagnosed_terminal,Diagnosed with terminal Crochet,crochet,Diagnosed with terminal Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, crochet lover, digital download, etsy bestseller, redbubble pod",3.99
viral_diagnosed_terminal_embroidery_v0,medical,diagnosed_terminal,Diagnosed with terminal Embroidery,embroidery,Diagnosed with terminal Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, embroidery lover, digital download, etsy bestseller, redbubble pod",3.99
viral_diagnosed_terminal_reading_v0,medical,diagnosed_terminal,Diagnosed with terminal Reading,reading,Diagnosed with terminal Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, reading lover, digital download, etsy bestseller, redbubble pod",3.99
viral_diagnosed_terminal_gardening_v0,medical,diagnosed_terminal,Diagnosed with terminal Gardening,gardening,Diagnosed with terminal Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, gardening lover, digital download, etsy bestseller, redbubble pod",3.99
viral_strict_prescription_knitting_v0,medical,strict_prescription,Strict prescription: daily dose of Knitting,knitting,Strict prescription: daily dose of Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, knitting lover, digital download, etsy bestseller, redbubble pod",3.99
viral_strict_prescription_crochet_v0,medical,strict_prescription,Strict prescription: daily dose of Crochet,crochet,Strict prescription: daily dose of Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, crochet lover, digital download, etsy bestseller, redbubble pod",3.99
viral_strict_prescription_embroidery_v0,medical,strict_prescription,Strict prescription: daily dose of Embroidery,embroidery,Strict prescription: daily dose of Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, embroidery lover, digital download, etsy bestseller, redbubble pod",3.99
viral_strict_prescription_reading_v0,medical,strict_prescription,Strict prescription: daily dose of Reading,reading,Strict prescription: daily dose of Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, reading lover, digital download, etsy bestseller, redbubble pod",3.99
viral_strict_prescription_gardening_v0,medical,strict_prescription,Strict prescription: daily dose of Gardening,gardening,Strict prescription: daily dose of Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, gardening lover, digital download, etsy bestseller, redbubble pod",3.99
viral_blood_level_warning_knitting_v0,medical,blood_level_warning,WARNING: Knitting levels critically high in bloodstream,knitting,WARNING: Knitting levels critically high in bloodstream — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, knitting lover, digital download, etsy bestseller, redbubble pod",3.99
viral_blood_level_warning_crochet_v0,medical,blood_level_warning,WARNING: Crochet levels critically high in bloodstream,crochet,WARNING: Crochet levels critically high in bloodstream — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, crochet lover, digital download, etsy bestseller, redbubble pod",3.99
viral_blood_level_warning_embroidery_v0,medical,blood_level_warning,WARNING: Embroidery levels critically high in bloodstream,embroidery,WARNING: Embroidery levels critically high in bloodstream — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, embroidery lover, digital download, etsy bestseller, redbubble pod",3.99
viral_blood_level_warning_reading_v0,medical,blood_level_warning,WARNING: Reading levels critically high in bloodstream,reading,WARNING: Reading levels critically high in bloodstream — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, reading lover, digital download, etsy bestseller, redbubble pod",3.99
viral_blood_level_warning_gardening_v0,medical,blood_level_warning,WARNING: Gardening levels critically high in bloodstream,gardening,WARNING: Gardening levels critically high in bloodstream — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, gardening lover, digital download, etsy bestseller, redbubble pod",3.99
viral_allergic_humans_knitting_v0,medical,allergic_humans,Allergic to humans. Tolerant only of Knitting,knitting,Allergic to humans. Tolerant only of Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, knitting lover, digital download, etsy bestseller, redbubble pod",3.99
viral_allergic_humans_crochet_v0,medical,allergic_humans,Allergic to humans. Tolerant only of Crochet,crochet,Allergic to humans. Tolerant only of Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, crochet lover, digital download, etsy bestseller, redbubble pod",3.99
viral_allergic_humans_embroidery_v0,medical,allergic_humans,Allergic to humans. Tolerant only of Embroidery,embroidery,Allergic to humans. Tolerant only of Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, embroidery lover, digital download, etsy bestseller, redbubble pod",3.99
viral_allergic_humans_reading_v0,medical,allergic_humans,Allergic to humans. Tolerant only of Reading,reading,Allergic to humans. Tolerant only of Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, reading lover, digital download, etsy bestseller, redbubble pod",3.99
viral_allergic_humans_gardening_v0,medical,allergic_humans,Allergic to humans. Tolerant only of Gardening,gardening,Allergic to humans. Tolerant only of Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, gardening lover, digital download, etsy bestseller, redbubble pod",3.99
viral_cheaper_than_therapy_knitting_v0,medical,cheaper_than_therapy,"Knitting: my daily therapy, cheaper than a shrink",knitting,"Knitting: my daily therapy, cheaper than a shrink — Funny Knitting Gift Print","knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, knitting lover, digital download, etsy bestseller, redbubble pod",3.99
viral_cheaper_than_therapy_crochet_v0,medical,cheaper_than_therapy,"Crochet: my daily therapy, cheaper than a shrink",crochet,"Crochet: my daily therapy, cheaper than a shrink — Funny Crochet Gift Print","crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, crochet lover, digital download, etsy bestseller, redbubble pod",3.99
viral_cheaper_than_therapy_embroidery_v0,medical,cheaper_than_therapy,"Embroidery: my daily therapy, cheaper than a shrink",embroidery,"Embroidery: my daily therapy, cheaper than a shrink — Funny Embroidery Gift Print","embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, embroidery lover, digital download, etsy bestseller, redbubble pod",3.99
viral_cheaper_than_therapy_reading_v0,medical,cheaper_than_therapy,"Reading: my daily therapy, cheaper than a shrink",reading,"Reading: my daily therapy, cheaper than a shrink — Funny Reading Gift Print","reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, reading lover, digital download, etsy bestseller, redbubble pod",3.99
viral_cheaper_than_therapy_gardening_v0,medical,cheaper_than_therapy,"Gardening: my daily therapy, cheaper than a shrink",gardening,"Gardening: my daily therapy, cheaper than a shrink — Funny Gardening Gift Print","gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, introvert humor, self deprecating, gardening lover, digital download, etsy bestseller, redbubble pod",3.99
