design_id,format_family,format_key,format_text,niche,title,tags_etsy,price_etsy
viral_v2_diagnosed_terminal_knitting,medical,diagnosed_terminal,Diagnosed with terminal Knitting,knitting,Diagnosed with terminal Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, knitting lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_diagnosed_terminal_crochet,medical,diagnosed_terminal,Diagnosed with terminal Crochet,crochet,Diagnosed with terminal Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, crochet lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_diagnosed_terminal_embroidery,medical,diagnosed_terminal,Diagnosed with terminal Embroidery,embroidery,Diagnosed with terminal Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, embroidery lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_diagnosed_terminal_reading,medical,diagnosed_terminal,Diagnosed with terminal Reading,reading,Diagnosed with terminal Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, reading lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_diagnosed_terminal_gardening,medical,diagnosed_terminal,Diagnosed with terminal Gardening,gardening,Diagnosed with terminal Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, gardening lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_strict_prescription_knitting,medical,strict_prescription,Strict prescription: daily dose of Knitting,knitting,Strict prescription: daily dose of Knitting — Funny Knitting Gift Print,"knitting gift, knitters, funny tshirt design, hobby gift, humor print, medical, personality gift, knitting lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_strict_prescription_crochet,medical,strict_prescription,Strict prescription: daily dose of Crochet,crochet,Strict prescription: daily dose of Crochet — Funny Crochet Gift Print,"crochet gift, crocheters, funny tshirt design, hobby gift, humor print, medical, personality gift, crochet lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_strict_prescription_embroidery,medical,strict_prescription,Strict prescription: daily dose of Embroidery,embroidery,Strict prescription: daily dose of Embroidery — Funny Embroidery Gift Print,"embroidery gift, embroiderers, funny tshirt design, hobby gift, humor print, medical, personality gift, embroidery lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_strict_prescription_reading,medical,strict_prescription,Strict prescription: daily dose of Reading,reading,Strict prescription: daily dose of Reading — Funny Reading Gift Print,"reading gift, booktok readers, funny tshirt design, hobby gift, humor print, medical, personality gift, reading lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
viral_v2_strict_prescription_gardening,medical,strict_prescription,Strict prescription: daily dose of Gardening,gardening,Strict prescription: daily dose of Gardening — Funny Gardening Gift Print,"gardening gift, gardeners, funny tshirt design, hobby gift, humor print, medical, personality gift, gardening lover, digital download, etsy bestseller, redbubble pod, tshirt mug poster, instant download",3.99
