design_id,niche,variant,title,tags_etsy,price_etsy
iheart_reading_watercolor_pastel,reading,watercolor_pastel,I Love Reading Print — Watercolor Pastel Gift for Booktok Readers,"i love reading, reading gift, booktok readers, wall art print, tshirt design, gift idea, watercolor pastel, digital download, reading lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_reading_vintage_bold,reading,vintage_bold,I Love Reading Print — Vintage Bold Gift for Booktok Readers,"i love reading, reading gift, booktok readers, wall art print, tshirt design, gift idea, vintage bold, digital download, reading lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_crochet_watercolor_pastel,crochet,watercolor_pastel,I Love Crochet Print — Watercolor Pastel Gift for Crocheters,"i love crochet, crochet gift, crocheters, wall art print, tshirt design, gift idea, watercolor pastel, digital download, crochet lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_crochet_vintage_bold,crochet,vintage_bold,I Love Crochet Print — Vintage Bold Gift for Crocheters,"i love crochet, crochet gift, crocheters, wall art print, tshirt design, gift idea, vintage bold, digital download, crochet lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_knitting_watercolor_pastel,knitting,watercolor_pastel,I Love Knitting Print — Watercolor Pastel Gift for Knitters,"i love knitting, knitting gift, knitters, wall art print, tshirt design, gift idea, watercolor pastel, digital download, knitting lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_knitting_vintage_bold,knitting,vintage_bold,I Love Knitting Print — Vintage Bold Gift for Knitters,"i love knitting, knitting gift, knitters, wall art print, tshirt design, gift idea, vintage bold, digital download, knitting lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_embroidery_watercolor_pastel,embroidery,watercolor_pastel,I Love Embroidery Print — Watercolor Pastel Gift for Embroiderers,"i love embroidery, embroidery gift, embroiderers, wall art print, tshirt design, gift idea, watercolor pastel, digital download, embroidery lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_embroidery_vintage_bold,embroidery,vintage_bold,I Love Embroidery Print — Vintage Bold Gift for Embroiderers,"i love embroidery, embroidery gift, embroiderers, wall art print, tshirt design, gift idea, vintage bold, digital download, embroidery lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_gardening_watercolor_pastel,gardening,watercolor_pastel,I Love Gardening Print — Watercolor Pastel Gift for Gardeners,"i love gardening, gardening gift, gardeners, wall art print, tshirt design, gift idea, watercolor pastel, digital download, gardening lover, mug design, tote bag print, sticker design, redbubble pod",3.5
iheart_gardening_vintage_bold,gardening,vintage_bold,I Love Gardening Print — Vintage Bold Gift for Gardeners,"i love gardening, gardening gift, gardeners, wall art print, tshirt design, gift idea, vintage bold, digital download, gardening lover, mug design, tote bag print, sticker design, redbubble pod",3.5
