card_id,card_type,category,text,multiplier,image_file
TRA_041,trait,Digital Addict,Unironically uses 'TikTok slang' in real-life conversations with actual human adults.,,specs/roast_and_boast_us_base/cards/traits/TRA_041.png
TRA_042,trait,Digital Addict,Will film a 15-second video of a tragedy or a car crash before even thinking about calling 911.,,specs/roast_and_boast_us_base/cards/traits/TRA_042.png
TRA_043,trait,Digital Addict,Has a secret finsta (fake Instagram) purely used to spy on people they claim to hate.,,specs/roast_and_boast_us_base/cards/traits/TRA_043.png
TRA_044,trait,Digital Addict,"Their phone is constantly at 3% battery, yet they refuse to carry a charger and borrow everyone else's.",,specs/roast_and_boast_us_base/cards/traits/TRA_044.png
TRA_045,trait,Digital Addict,Spends 45 minutes trying to find the perfect meme to reply to a text that required a simple 'yes'.,,specs/roast_and_boast_us_base/cards/traits/TRA_045.png
TRA_046,trait,Digital Addict,Would genuinely suffer from physical withdrawal symptoms if they lost access to their phone for 2 hours.,,specs/roast_and_boast_us_base/cards/traits/TRA_046.png
TRA_047,trait,Digital Addict,Has matched with the same person on three different dating apps and got ghosted on all of them.,,specs/roast_and_boast_us_base/cards/traits/TRA_047.png
TRA_048,trait,Digital Addict,Takes a photo of their meal from six different angles while their friends starve in silence.,,specs/roast_and_boast_us_base/cards/traits/TRA_048.png
TRA_049,trait,Digital Addict,Leaves people on 'Read' for three days and then replies with 'Omg so sorry I just saw this!'.,,specs/roast_and_boast_us_base/cards/traits/TRA_049.png
TRA_050,trait,Digital Addict,Thinks having a curated aesthetic on Pinterest qualifies as having a real personality.,,specs/roast_and_boast_us_base/cards/traits/TRA_050.png
TRA_051,trait,Romantic Disasters,Falls deeply in love with a retail worker or a barista just because they smiled and said 'Have a nice day'.,,specs/roast_and_boast_us_base/cards/traits/TRA_051.png
TRA_052,trait,Romantic Disasters,Their type in partners can be best described as 'a walking project that needs heavy psychological rehabilitation'.,,specs/roast_and_boast_us_base/cards/traits/TRA_052.png
TRA_053,trait,Romantic Disasters,Will ignore 57 red flags just because the person has nice hair or a cool music taste.,,specs/roast_and_boast_us_base/cards/traits/TRA_053.png
