design_id,title,variant_text,price_cults3d_eur,stl_file,size_mm,estimated_print_time
stl_bookmark_cottagecore_01,"Bloom Where Planted Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Bloom Where Planted,1.5,bookmark_cottagecore_01_bloom_where_planted.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_02,"Tea & Books Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Tea & Books,1.5,bookmark_cottagecore_02_tea_&_books.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_03,"Cozy Soul Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Cozy Soul,1.5,bookmark_cottagecore_03_cozy_soul.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_04,"Garden Witch Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Garden Witch,1.5,bookmark_cottagecore_04_garden_witch.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_05,"Quiet Heart Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Quiet Heart,1.5,bookmark_cottagecore_05_quiet_heart.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_06,"Wildflower Girl Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Wildflower Girl,1.5,bookmark_cottagecore_06_wildflower_girl.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_07,"Slow Living Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Slow Living,1.5,bookmark_cottagecore_07_slow_living.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_08,"Forest Friend Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Forest Friend,1.5,bookmark_cottagecore_08_forest_friend.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_09,"Mossy Days Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Mossy Days,1.5,bookmark_cottagecore_09_mossy_days.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_10,"Cottage Dreams Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Cottage Dreams,1.5,bookmark_cottagecore_10_cottage_dreams.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_11,"Mushroom Lover Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Mushroom Lover,1.5,bookmark_cottagecore_11_mushroom_lover.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_12,"Linen & Lace Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Linen & Lace,1.5,bookmark_cottagecore_12_linen_&_lace.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_13,"Fairy Hours Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Fairy Hours,1.5,bookmark_cottagecore_13_fairy_hours.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_14,"Soft Soul Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Soft Soul,1.5,bookmark_cottagecore_14_soft_soul.stl,25×100×2.5,25 min
stl_bookmark_cottagecore_15,"Honey Hearts Bookmark STL — 3D Print Ready, Cottagecore Aesthetic",Honey Hearts,1.5,bookmark_cottagecore_15_honey_hearts.stl,25×100×2.5,25 min
