design_id,quote,category,style,title,tags_etsy,price_etsy
quote_be_kind_to_yourself_cream_serif,Be kind to yourself,self_care,cream_serif,"""Be kind to yourself"" Print — Cream Serif Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, cream serif, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_be_kind_to_yourself_warm_ambient,Be kind to yourself,self_care,warm_ambient,"""Be kind to yourself"" Print — Warm Ambient Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, warm ambient, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_be_kind_to_yourself_moody_navy,Be kind to yourself,self_care,moody_navy,"""Be kind to yourself"" Print — Moody Navy Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, moody navy, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_you_are_enough_cream_serif,You are enough,self_care,cream_serif,"""You are enough"" Print — Cream Serif Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, cream serif, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_you_are_enough_warm_ambient,You are enough,self_care,warm_ambient,"""You are enough"" Print — Warm Ambient Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, warm ambient, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_you_are_enough_moody_navy,You are enough,self_care,moody_navy,"""You are enough"" Print — Moody Navy Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, moody navy, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_slow_down_cream_serif,Slow down,self_care,cream_serif,"""Slow down"" Print — Cream Serif Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, cream serif, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_slow_down_warm_ambient,Slow down,self_care,warm_ambient,"""Slow down"" Print — Warm Ambient Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, warm ambient, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_slow_down_moody_navy,Slow down,self_care,moody_navy,"""Slow down"" Print — Moody Navy Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, moody navy, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_breathe_in_breathe_out_cream_serif,Breathe in. Breathe out.,self_care,cream_serif,"""Breathe in. Breathe out."" Print — Cream Serif Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, cream serif, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_breathe_in_breathe_out_warm_ambient,Breathe in. Breathe out.,self_care,warm_ambient,"""Breathe in. Breathe out."" Print — Warm Ambient Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, warm ambient, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_breathe_in_breathe_out_moody_navy,Breathe in. Breathe out.,self_care,moody_navy,"""Breathe in. Breathe out."" Print — Moody Navy Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, moody navy, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
quote_rest_is_productive_cream_serif,Rest is productive,self_care,cream_serif,"""Rest is productive"" Print — Cream Serif Minimalist Quote Wall Art","self_care quote, inspirational quote, minimalist quote print, wall art quote, cream serif, typography poster, modern home decor, motivational print, quote of the day, etsy bestseller, digital download quote, instant download, small business gift",3.99
